"TE","NP","NU","NR"
"5121280800",,"ВІКТОРІВСЬКА/С.ВІКТОРІВКА","ВИКТОРОВСКИЙ/С.ВИКТОРОВКА"
"5121280801","С","ВІКТОРІВКА","ВИКТОРОВКА"
"5121280807","С","ЛАНОВЕ","ЛАНОВОЕ"
"5121280808","С","РОЗДОЛ","РАЗДОЛ"
"5121281000",,"ВИНОГРАДНЕНСЬКА/С.ВИНОГРАДНЕ","ВИНОГРАДНЕНСКИЙ/С.ВИНОГРАДНОЕ"
"5121281001","С","ВИНОГРАДНЕ","ВИНОГРАДНОЕ"
"5121281003","С","САДОВЕ","САДОВОЕ"
"5121281200",,"ГУЛЯЇВСЬКА/С.ГУЛЯЇВКА","ГУЛЯЕВСКИЙ/С.ГУЛЯЕВКА"
"5121281201","С","ГУЛЯЇВКА","ГУЛЯЕВКА"
"5121281203","С","МАР'ЯНІВКА","МАРЬЯНОВКА"
"5121281204","С","ОДРАДНА БАЛКА","ОТРАДНАЯ БАЛКА"
"5121281205","С","САХАРОВЕ","САХАРОВО"
"5121281600",,"ДЕМИДІВСЬКА/С.ДЕМИДОВЕ","ДЕМИДОВСКИЙ/С.ДЕМИДОВО"
"5121281601","С","ДЕМИДОВЕ","ДЕМИДОВО"
"5121282000",,"ЗАВОДІВСЬКА/С.ЗАВОДІВКА","ЗАВОДОВСКИЙ/С.ЗАВОДОВКА"
"5121282001","С","ЗАВОДІВКА","ЗАВОДОВКА"
"5121282003","С","ВИНОГРАД","ВИНОГРАД"
"5121282005","С","ЧИЖОВЕ","ЧИЖЕВО"
"5121282100",,"ЗЛАТОУСТІВСЬКА/С.ЗЛАТОУСТОВЕ","ЗЛАТОУСТОВСКИЙ/С.ЗЛАТОУСТОВО"
"5121282101","С","ЗЛАТОУСТОВЕ","ЗЛАТОУСТОВО"
"5121282105","С","СОФІЇВКА","СОФИЕВКА"
"5121282900",,"МАРИНІВСЬКА/С.МАРИНОВЕ","МАРИНОВСКИЙ/С.МАРИНОВКА"
"5121282901","С","МАРИНОВЕ","МАРИНОВЕ"
"5121282902","С","БАЛАЙЧУК","БАЛАЙЧУК"
"5121283100",,"МИХАЙЛО-ОЛЕКСАНДРІВСЬКА/С.МИХАЙЛО-ОЛЕКСАНДРІВКА","МИХАЙЛО-АЛЕКСАНДРОВСКИЙ/С.МИХАЙЛО-АЛЕКСАНДРОВКА"
"5121283101","С","МИХАЙЛО-ОЛЕКСАНДРІВКА","МИХАЙЛО-АЛЕКСАНДРОВКА"
"5121283103","С","ВЕСЕЛИНІВКА","ВЕСЕЛИНОВКА"
"5121283400",,"НОВОСЕЛІВСЬКА/С.НОВОСЕЛІВКА","НОВОСЕЛОВСКИЙ/С.НОВОСЕЛОВКА"
"5121283401","С","НОВОСЕЛІВКА","НОВОСЕЛОВКА"
"5121283402","С","ЗБРОЖКІВКА","ЗБРОЖКОВКА"
"5121283403","С","НОВОПОДІЛЬСЬКЕ","НОВОПОДОЛЬСКОЕ"
"5121283600",,"РОЗКВІТІВСЬКА/С.РОЗКВІТ","РОЗКВИТОВСКИЙ/С.РОЗКВИТ"
"5121283601","С","РОЗКВІТ","РОЗКВИТ"
"5121283603","С","КРИНИЧКИ","КРИНИЧКИ"
"5121283604","С","ОНОРІВКА","ОНОРОВКА"
"5121283605","С","ВИШНЕВЕ","ВИШНЕВОЕ"
"5121283606","С","ШУТОВЕ","ШУТОВО"
"5121283650","С","ЧУДСЬКЕ","ЧУДСКОЕ"
"5121283800",,"РЯСНОПІЛЬСЬКА/С.РЯСНОПІЛЬ","РЯСНОПОЛЬСКИЙ/С.РЯСНОПОЛЬ"
"5121283801","С","РЯСНОПІЛЬ","РЯСНОПОЛЬ"
"5121283802","С","ЗЕЛЕНОПІЛЛЯ","ЗЕЛЕНОПОЛЬЕ"
"5121283803","С","ІВАНІВКА","ИВАНОВКА"
"5121283805","С","ОСНОВА","ОСНОВА"
"5121283806","С","ПЕТРІВКА","ПЕТРОВКА"
"5121283807","С","СУХИНЕ","СУХИНО"
"5121284900",,"СТАВКІВСЬКА/С.СТАВКОВЕ","СТАВКОВСКИЙ/С.СТАВКОВОЕ"
"5121284901","С","СТАВКОВЕ","СТАВКОВОЕ"
"5121284902","С","ДАНИЛІВКА","ДАНИЛОВКА"
"5121284903","С","НЕЙКОВЕ","НЕЙКОВО"
"5121284904","С","РІВНЕ","РОВНОЕ"
"5121285100",,"СТЕПАНІВСЬКА/С.СТЕПАНІВКА","СТЕПАНОВСКИЙ/С.СТЕПАНОВКА"
"5121285101","С","СТЕПАНІВКА","СТЕПАНОВКА"
"5121285103","С","ТАНІВКА","ТАНОВКА"
"5121285105","С","ДОНСЬКА БАЛКА","ДОНСКАЯ БАЛКА"
"5121285107","С","ДОНСЬКЕ","ДОНСКОЕ"
"5121285109","С","КАРНАГОРОВЕ","КАРНАГОРОВО"
"5121285111","С","КОСІВКА","КОСОВКА"
"5121285113","С","ЧЕРВОНЕ","ЧЕРВОНОЕ"
"5121285115","С","ЧОРНОГІРКА","ЧЕРНОГОРКА"
"5121285600",,"НОВОКАЛЬЧЕВСЬКА/С.НОВОКАЛЬЧЕВЕ","НОВОКАЛЬЧЕВСКИЙ/С.НОВОКАЛЬЧЕВОЕ"
"5121285601","С","НОВОКАЛЬЧЕВЕ","НОВОКАЛЬЧЕВОЕ"
"5121285604","С","СЕМИХАТКИ","СЕМИХАТКИ"
"5121285605","С","ТРАВНЕВЕ","ТРАВНЕВОЕ"
"5121285606","С","УЛЯНІВКА","УЛЬЯНОВКА"
"5121285700",,"МИХАЙЛІВСЬКА/С.МИХАЙЛІВКА","МИХАЙЛОВСКИЙ/С.МИХАЙЛОВКА"
"5121285701","С","МИХАЙЛІВКА","МИХАЙЛОВКА"
"5121285703","С","КОТОВКА","КОТОВКА"
"5121285705","С","ЮРКОВЕ","ЮРКОВО"
"5121285800",,"ШЕВЧЕНКІВСЬКА/С.ШЕВЧЕНКОВЕ","ШЕВЧЕНКОВСКИЙ/С.ШЕВЧЕНКОВО"
"5121285801","С","ШЕВЧЕНКОВЕ","ШЕВЧЕНКОВО"
"5121285805","С","ЧИГИРИН","ЧИГИРИН"
"5121286100",,"ЯСНОПІЛЬСЬКА/С.ЯСНОПІЛЛЯ","ЯСНОПОЛЬСКИЙ/С.ЯСНОПОЛЬЕ"
"5121286101","С","ЯСНОПІЛЛЯ","ЯСНОПОЛЬЕ"
"5121286103","С","КУДРЯВКА","КУДРЯВКА"
"5121286104","С","НОВОГРИГОРІВКА","НОВОГРИГОРОВКА"
"5121400000",,"БОЛГРАДСЬКИЙ РАЙОН/М.БОЛГРАД","БОЛГРАДСКИЙ РАЙОН/Г.БОЛГРАД"
"5121410000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БОЛГРАДСЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ БОЛГРАДСКОГО Р-НА"
"5121410100","М","БОЛГРАД","БОЛГРАД"
"5121480000",,"СІЛЬРАДИ БОЛГРАДСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ БОЛГРАДСКОГО Р-НА"
"5121480400",,"ОЛЕКСАНДРІВСЬКА/С.ОЛЕКСАНДРІВКА","АЛЕКСАНДРОВСКИЙ/С.АЛЕКСАНДРОВКА"
"5121480401","С","ОЛЕКСАНДРІВКА","АЛЕКСАНДРОВКА"
"5121480700",,"БАННІВСЬКА/С.БАННІВКА","БАННОВСКИЙ/С.БАННОВКА"
"5121480701","С","БАННІВКА","БАННОВКА"
"5121481000",,"ВАСИЛІВСЬКА/С.ВАСИЛІВКА","ВАСИЛЬЕВСКИЙ/С.ВАСИЛЬЕВКА"
"5121481001","С","ВАСИЛІВКА","ВАСИЛЬЕВКА"
"5121481400",,"ВИНОГРАДНЕНСЬКА/С.ВИНОГРАДНЕ","ВИНОГРАДНЕНСКИЙ/С.ВИНОГРАДНОЕ"
"5121481401","С","ВИНОГРАДНЕ","ВИНОГРАДНОЕ"
"5121481600",,"ВИНОГРАДІВСЬКА/С.ВИНОГРАДІВКА","ВИНОГРАДОВСКИЙ/С.ВИНОГРАДОВКА"
"5121481601","С","ВИНОГРАДІВКА","ВИНОГРАДОВКА"
"5121482000",,"ВЛАДИЧЕНСЬКА/С.ВЛАДИЧЕНЬ","ВЛАДЫЧЕНСКИЙ/С.ВЛАДЫЧЕНЬ"
"5121482001","С","ВЛАДИЧЕНЬ","ВЛАДЫЧЕНЬ"
"5121482400",,"ГОЛИЦЬКА/С.ГОЛИЦЯ","ГОЛИЦКИЙ/С.ГОЛИЦА"
"5121482401","С","ГОЛИЦЯ","ГОЛИЦА"
"5121482700",,"ГОРОДНЕНСЬКА/С.ГОРОДНЄ","ГОРОДНЕНСКИЙ/С.ГОРОДНЕЕ"
"5121482701","С","ГОРОДНЄ","ГОРОДНЕЕ"
"5121483000",,"ДМИТРІВСЬКА/С.ДМИТРІВКА","ДМИТРОВСКИЙ/С.ДМИТРОВКА"
"5121483001","С","ДМИТРІВКА","ДМИТРОВКА"
"5121483600",,"КАРАКУРТСЬКА/С.КАРАКУРТ","КАРАКУРТСКИЙ/С.КАРАКУРТ"
"5121483601","С","КАРАКУРТ","КАРАКУРТ"
"5121483602","С","НОВИЙ КАРАКУРТ","НОВИЙ КАРАКУРТ"
"5121483800",,"ЗАЛІЗНИЧНЕНСЬКА/С.ЗАЛІЗНИЧНЕ","ЗАЛИЗНИЧНЕНСКИЙ/С.ЗАЛИЗНИЧНОЕ"
"5121483801","С","ЗАЛІЗНИЧНЕ","ЗАЛИЗНИЧНОЕ"
"5121484100",,"КАЛЧІВСЬКА/С.КАЛЧЕВА","КАЛЧЕВСКИЙ/С.КАЛЧЕВА"
"5121484101","С","КАЛЧЕВА","КАЛЧЕВА"
"5121484700",,"КРИНИЧНЕНСЬКА/С.КРИНИЧНЕ","КРИНИЧНЕНСКИЙ/С.КРИНИЧНОЕ"
"5121484701","С","КРИНИЧНЕ","КРИНИЧНОЕ"
"5121484702","С","КОСА","КОСА"
"5121485300",,"НОВОТРОЯНІВСЬКА/С.НОВІ ТРОЯНИ","НОВОТРОЯНОВСКИЙ/С.НОВЫЕ ТРОЯНЫ"
"5121485301","С","НОВІ ТРОЯНИ","НОВЫЕ ТРОЯНЫ"
"5121485500",,"ОКСАМИТНЕНСЬКА/С.ОКСАМИТНЕ","ОКСАМИТНЕНСКИЙ/С.ОКСАМИТНОЕ"
"5121485501","С","ОКСАМИТНЕ","ОКСАМИТНОЕ"
"5121485502","С","ТОПОЛИНЕ","ТОПОЛИНОЕ"
"5121485700",,"ОРІХІВСЬКА/С.ОРІХІВКА","ОРЕХОВСКИЙ/С.ОРЕХОВКА"
"5121485701","С","ОРІХІВКА","ОРЕХОВКА"
"5121486500",,"ТАБАКІВСЬКА/С.ТАБАКИ","ТАБАКОВСКИЙ/С.ТАБАКИ"
"5121486501","С","ТАБАКИ","ТАБАКИ"
"5121487000",,"КУБЕЙСЬКА/С.КУБЕЙ","КУБЕЙСКИЙ/С.КУБЕЙ"
"5121487001","С","КУБЕЙ","КУБЕЙ"
"5121600000",,"ВЕЛИКОМИХАЙЛІВСЬКИЙ РАЙОН/СМТ ВЕЛИКА МИХАЙЛІВКА","ВЕЛИКОМИХАЙЛОВСКИЙ РАЙОН/ПГТ ВЕЛИКАЯ МИХАЙЛОВКА"
"5121655000",,"СЕЛИЩА МІСЬКОГО ТИПУ ВЕЛИКОМИХАЙЛІВСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ВЕЛИКОМИХАЙЛОВСКОГО Р-НА"
"5121655100","Т","ВЕЛИКА МИХАЙЛІВКА","ВЕЛИКАЯ МИХАЙЛОВКА"
"5121655500","Т","ЦЕБРИКОВЕ","ЦЕБРИКОВО"
"5121655501","С","ІРИНІВКА","ИРИНОВКА"
"5121655503","С","МАЛОЦЕБРИКОВЕ","МАЛОЦЕБРИКОВО"
"5121655504","С","МАРДАРІВКА","МАРДАРОВКА"
"5121655505","С","НОВОПАВЛІВКА","НОВОПАВЛОВКА"
"5121655506","С","НОВОРОМАНІВКА","НОВОРОМАНОВКА"
"5121655507","С","ОЛЕНІВКА","ОЛЕНОВКА"
"5121655508","С","ОЛЬГИНОВЕ","ОЛЬГИНОВО"
"5121680000",,"СІЛЬРАДИ ВЕЛИКОМИХАЙЛІВСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ВЕЛИКОМИХАЙЛОВСКОГО Р-НА"
"5121680300",,"ВЕЛИКОЗИМЕНІВСЬКА/С.ВЕЛИКОЗИМЕНОВЕ","ВЕЛИКОЗИМЕНОВСКИЙ/С.ВЕЛИКОЗИМЕНОВО"
"5121680301","С","ВЕЛИКОЗИМЕНОВЕ","ВЕЛИКОЗИМЕНОВО"
"5121680304","С","МАРЦІЯНОВЕ","МАРЦИЯНОВО"
"5121680500",,"ВЕЛИКОКОМАРІВСЬКА/С.ВЕЛИКОКОМАРІВКА","ВЕЛИКОКОМАРОВСКИЙ/С.ВЕЛИКОКОМАРОВКА"
"5121680501","С","ВЕЛИКОКОМАРІВКА","ВЕЛИКОКОМАРОВКА"
"5121680502","С","ДІВОЦЬКЕ","ДИВОЦКОЕ"
"5121680503","С","ПЛАТОНІВКА","ПЛАТОНОВКА"
"5121680800",,"ВЕЛИКОПЛОСКІВСЬКА/С.ВЕЛИКОПЛОСКЕ","ВЕЛИКОПЛОСКОВСКИЙ/С.ВЕЛИКОПЛОСКОЕ"
"5121680801","С","ВЕЛИКОПЛОСКЕ","ВЕЛИКОПЛОСКОЕ"
"5121681300",,"ГРЕБЕНИКІВСЬКА/С.ГРЕБЕНИКИ","ГРЕБЕНИКОВСКИЙ/С.ГРЕБЕНИКИ"
"5121681301","С","ГРЕБЕНИКИ","ГРЕБЕНИКИ"
"5121681900",,"ВИШНЕВСЬКА/С.ВИШНЕВЕ","ВИШНЕВСКИЙ/С.ВИШНЕВОЕ"
"5121681901","С","ВИШНЕВЕ","ВИШНЕВОЕ"
"5121681902","С","НОВОСЕЛІВКА","НОВОСЕЛОВКА"
"5121681903","С","ПРИВІЛЬНЕ","ПРИВОЛЬНОЕ"
"5121681904","С","СОКОРОВЕ","СОКОРОВО"
"5121682200",,"КОМАРІВСЬКА/С.КОМАРІВКА","КОМАРОВСКИЙ/С.КОМАРОВКА"
"5121682201","С","КОМАРІВКА","КОМАРОВКА"
"5121682202","С","ГРУШКА","ГРУШКА"
"5121682205","С","ТРОХИМІВКА","ТРОФИМОВКА"
"5121682600",,"МИГАЇВСЬКА/С.МИГАЇ","МИГАЕВСКИЙ/С.МИГАИ"
"5121682601","С","МИГАЇ","МИГАИ"
"5121682602","С","ЗАЛІЗНИЧНЕ","ЗАЛИЗНИЧНОЕ"
"5121682603","Щ","МИГАЄВЕ","МИГАЕВО"
"5121682604","С","ТРИ КРИНИЦІ","ТРИ КРИНИЦЫ"
"5121682800",,"НОВООЛЕКСАНДРІВСЬКА/С.НОВООЛЕКСАНДРІВКА","НОВОАЛЕКСАНДРОВСКИЙ/С.НОВОАЛЕКСАНДРОВКА"
"5121682801","С","НОВООЛЕКСАНДРІВКА","НОВОАЛЕКСАНДРОВКА"
"5121682803","С","НОВІ БУТОРИ","НОВЫЕ БУТОРЫ"
"5121683000",,"НОВОБОРИСІВСЬКА/С.НОВОБОРИСІВКА","НОВОБОРИСОВСКИЙ/С.НОВОБОРИСОВКА"
"5121683001","С","НОВОБОРИСІВКА","НОВОБОРИСОВКА"
"5121683002","С","ДОБРИЙ ЛУК","ДОБРЫЙ ЛУК"
"5121683003","С","ДУРБАЙЛИ","ДУРБАЙЛЫ"
"5121683004","С","ІВАНІВКА","ИВАНОВКА"
"5121683005","С","МАЦКУЛИ","МАЦКУЛЫ"
"5121683006","С","ПОПЛАВКА","ПОПЛАВКА"
"5121683007","С","ПРЕОБРАЖЕНКА","ПРЕОБРАЖЕНКА"
"5121683008","С","ПУТИЛІВКА","ПУТИЛОВКА"
"5121683009","С","РАЙКИ","РАЙКИ"
"5121683010","С","ТЯТРИ","ТЯТРЫ"
"5121683200",,"НОВОПЕТРІВСЬКА/С.НОВОПЕТРІВКА","НОВОПЕТРОВСКИЙ/С.НОВОПЕТРОВКА"
"5121683201","С","НОВОПЕТРІВКА","НОВОПЕТРОВКА"
"5121683203","С","ВАКАРСЬКЕ","ВАКАРСКОЕ"
"5121683300",,"НОВОСАВИЦЬКА/С.НОВОСАВИЦЬКЕ","НОВОСАВИЦКИЙ/С.НОВОСАВИЦКОЕ"
"5121683301","С","НОВОСАВИЦЬКЕ","НОВОСАВИЦКОЕ"
"5121683400",,"НОВОСЕЛІВСЬКА/С.НОВОСЕЛІВКА","НОВОСЕЛОВСКИЙ/С.НОВОСЕЛОВКА"
"5121683401","С","НОВОСЕЛІВКА","НОВОСЕЛОВКА"
"5121683402","С","ТРУДОМИРІВКА","ТРУДОМИРОВКА"
"5121683403","С","ГІРСЬКЕ","ГОРСКОЕ"
"5121683404","С","КАРДАМИЧЕВЕ","КАРДАМЫЧЕВО"
"5121683700",,"ПЕРШОТРАВНЕВА/С.ПЕРШОТРАВНЕВЕ","ПЕРШОТРАВНЕВЫЙ/С.ПЕРШОТРАВНЕВОЕ"
"5121683701","С","ПЕРШОТРАВНЕВЕ","ПЕРШОТРАВНЕВОЕ"
"5121683703","С","МАРТОВЕ","МАРТОВЕ"
"5121683705","С","ДАНИЛІВКА","ДАНИЛОВКА"
"5121683708","С","ЗАМОЖНЕ","ЗАМОЖНОЕ"
"5121683900",,"ПОЛІШПАКІВСЬКА/С.ПОЛІШПАКОВЕ","ПОЛИШПАКОВСКИЙ/С.ПОЛИШПАКОВОЕ"
"5121683901","С","ПОЛІШПАКОВЕ","ПОЛИШПАКОВОЕ"
"5121683904","С","КОЗАКОВЕ","КАЗАКОВО"
"5121683905","С","НАЛИВАЙКОВЕ","НАЛИВАЙКОВО"
"5121684200",,"ПОЛЕЗНЕНСЬКА/С.ПОЛЕЗНЕ","ПОЛЕЗНЕНСКИЙ/С.ПОЛЕЗНОЕ"
"5121684201","С","ПОЛЕЗНЕ","ПОЛЕЗНОЕ"
"5121684202","С","БАГАЧЕВЕ","БАГАЧЕВО"
"5121684203","С","БЕССАРАБКА","БЕССАРАБКА"
"5121684204","С","ВОДЯНЕ","ВОДЯНОЕ"
"5121684205","С","ГІРЖОВЕ","ГИРЖОВО"
"5121684206","С","ФРАСИНЕ","ФРАСИНО"
"5121684600",,"СЛОВ'ЯНОСЕРБСЬКА/С.СЛОВ'ЯНОСЕРБКА","СЛАВЯНОСЕРБСКИЙ/С.СЛАВЯНОСЕРБКА"
"5121684601","С","СЛОВ'ЯНОСЕРБКА","СЛОВЯНОСЕРБКА"
"5121684602","С","АНТОНО-КОВАЧ","АНТОНО-КОВАЧ"
"5121684604","С","ОЛЕГ","ОЛЕГ"
"5121685200",,"СОШЕ-ОСТРІВСЬКА/С.СОШЕ-ОСТРІВСЬКЕ","СОШЕ-ОСТРОВСКИЙ/С.СОШЕ-ОСТРОВСКОЕ"
"5121685201","С","СОШЕ-ОСТРІВСЬКЕ","СОШЕ-ОСТРОВСКОЕ"
"5121685202","С","КУЧУРГАН","КУЧУРГАН"
"5121685400",,"СТОЯНІВСЬКА/С.СТОЯНЕВЕ","СТОЯНОВСКИЙ/С.СТОЯНОВО"
"5121685401","С","СТОЯНЕВЕ","СТОЯНОВО"
"5121685402","С","ВАСИЛІВКА","ВАСИЛЕВКА"
"5121685403","С","МУРАТОВЕ","МУРАТОВО"
"5121685800",,"ТРОСТЯНЕЦЬКА/С.ТРОСТЯНЕЦЬ","ТРОСТЯНЕЦКИЙ/С.ТРОСТЯНЕЦ"
"5121685801","С","ТРОСТЯНЕЦЬ","ТРОСТЯНЕЦ"
"5121685802","С","КІСТЕЛЬНИЦЯ","КИСТЕЛЬНИЦА"
"5121685803","С","МАЛОПЛОСКЕ","МАЛОПЛОСКОЕ"
"5121685804","С","НОВОАНТОНІВКА","НОВОАНТОНОВКА"
"5121685805","С","ОРЕЛ","ОРЕЛ"
"5121685806","С","ПОКРОВКА","ПОКРОВКА"
"5121685807","С","ПРИВІЛЛЯ","ПРИВОЛЬЕ"
"5121686000",,"ЦИБУЛІВСЬКА/С.ЦИБУЛІВКА","ЦИБУЛЕВСКИЙ/С.ЦИБУЛЕВКА"
"5121686001","С","ЦИБУЛІВКА","ЦИБУЛЕВКА"
"5121686004","С","МАЛОЗИМЕНОВЕ","МАЛОЗИМЕНОВО"
"5121686009","С","ПОЛІНО-ОСИПЕНКОВЕ","ПОЛИНО-ОСИПЕНКОВО"
"5121686400",,"ВОРОБІЇВСЬКА/С.ВОРОБІЇВКА","ВОРОБИЕВСКИЙ/С.ВОРОБИЕВКА"
"5121686401","С","ВОРОБІЇВКА","ВОРОБИЕВКА"
"5121686403","С","ВОРОБЙОВЕ","ВОРОБЬЕВО"
"5121686405","С","ЮРАШЕВЕ","ЮРАШЕВО"
"5121687000",,"ЮРКІВСЬКА/С.ЮРКІВКА","ЮРКОВСКАЯ/С.ЮРКОВКА"
"5121687030","С","ЄРМІШКОВЕ","ЕРМИШКОВОЕ"
"5121687090","С","ЮРКІВКА","ЮРКОВКА"
"5121800000",,"ІВАНІВСЬКИЙ РАЙОН/СМТ ІВАНІВКА","ИВАНОВСКИЙ РАЙОН/ПГТ ИВАНОВКА"
"5121855000",,"СЕЛИЩА МІСЬКОГО ТИПУ ІВАНІВСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ИВАНОВСКОГО Р-НА"
"5121855100","Т","ІВАНІВКА","ИВАНОВКА"
"5121855400","Т","ПЕТРІВКА","ПЕТРОВКА"
"5121855401","С","УЛЯНІВКА","УЛЬЯНОВКА"
"5121855600","Т","РАДІСНЕ","РАДОСТНОЕ"
"5121880000",,"СІЛЬРАДИ ІВАНІВСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ИВАНОВСКОГО Р-НА"
"5121880400",,"БАРАНІВСЬКА/С.БАРАНОВЕ","БАРАНОВСКИЙ/С.БАРАНОВО"
"5121880401","С","БАРАНОВЕ","БАРАНОВО"
"5121880402","С","МАЛИНІВКА","МАЛИНОВКА"
"5121880403","С","ПРИЧЕПІВКА","ПРИЧЕПОВКА"
"5121880404","С","СУХОМЛИНОВЕ","СУХОМЛЫНОВО"
"5121880700",,"БІЛЧАНСЬКА/С.БІЛКА","БЕЛЧАНСКИЙ/С.БЕЛКА"
"5121880701","С","БІЛКА","БЕЛКА"
"5121880702","С","БЛОНСЬКЕ","БЛОНСКОЕ"
"5121880703","С","ЖОВТЕ","ЖЕЛТОЕ"
"5121880704","С","МАСЛОВЕ","МАСЛОВО"
"5121880705","С","ЧЕРНЯХІВСЬКЕ","ЧЕРНЯХОВСКОЕ"
"5121880706","С","ШЕМЕТОВЕ","ШЕМЕТОВОЕ"
"5121881000",,"ВЕЛИКОБУЯЛИЦЬКА/С.ВЕЛИКИЙ БУЯЛИК","ВЕЛИКОБУЯЛИЦКИЙ/С.ВЕЛИКИЙ БУЯЛИК"
"5121881001","С","ВЕЛИКИЙ БУЯЛИК","ВЕЛИКИЙ БУЯЛИК"
"5121881200",,"БУЗИНІВСЬКА/С.БУЗИНОВЕ","БУЗИНОВСКИЙ/С.БУЗИНОВО"
"5121881201","С","БУЗИНОВЕ","БУЗИНОВО"
"5121881203","С","БАЛАНИНИ","БАЛАНИНЫ"
"5121881205","С","ВЕРХНІЙ КУЯЛЬНИК","ВЕРХНИЙ КУЯЛЬНИК"
"5121881207","С","НИЖНІЙ КУЯЛЬНИК","НИЖНИЙ КУЯЛЬНИК"
"5121881209","С","ПРОХОРОВЕ","ПРОХОРОВО"
"5121881400",,"КАЛИНІВСЬКА/С.КАЛИНІВКА","КАЛИНОВСКИЙ/С.КАЛИНОВКА"
"5121881401","С","КАЛИНІВКА","КАЛИНОВКА"
"5121881402","С","ВОВКОВЕ","ВОЛКОВО"
"5121881403","С","ГУДЕВИЧЕВЕ","ГУДЕВИЧЕВО"
"5121881404","С","ДЖУГАСТРОВЕ","ДЖУГАСТРОВО"
"5121881405","С","НОВАКОВЕ","НОВАКОВО"
"5121881407","С","СОКОЛОВЕ","СОКОЛОВО"
"5121882000",,"КОНОПЛЯНСЬКА/С.КОНОПЛЯНЕ","КОНОПЛЯНСКИЙ/С.КОНОПЛЯНОЕ"
"5121882001","С","КОНОПЛЯНЕ","КОНОПЛЯНОЕ"
"5121882002","С","БОГУНОВЕ","БОГУНОВО"
"5121882003","С","ЛЮБОТАЇВКА","ЛЮБОТАЕВКА"
"5121882004","С","СИЛІВКА","СИЛОВКА"
"5121882005","С","ТАРАСІВКА","ТАРАСОВКА"
"5121882006","С","ШЕРОВЕ","ШЕРОВО"
"5121882600",,"МИХАЙЛОПІЛЬСЬКА/С.МИХАЙЛОПІЛЬ","МИХАЙЛОПОЛЬСКИЙ/С.МИХАЙЛОПОЛЬ"
"5121882601","С","МИХАЙЛОПІЛЬ","МИХАЙЛОПОЛЬ"
"5121882602","С","КОЗЛОВЕ","КОЗЛОВО"
"5121882603","С","МАРЦІЯНОВЕ","МАРЦИЯНОВО"
"5121883200",,"ПАВЛИНСЬКА/С.ПАВЛИНКА","ПАВЛИНСКИЙ/С.ПАВЛИНКА"
"5121883201","С","ПАВЛИНКА","ПАВЛИНКА"
"5121883202","С","ВАСИЛІВКА","ВАСИЛЬЕВКА"
"5121883203","С","БУКАЧІ","БУКАЧИ"
"5121883204","С","ЛІЗИНКА","ЛИЗИНКА"
"5121883205","С","НОВІ ШОМПОЛИ","НОВЫЕ ШОМПОЛЫ"
"5121883206","С","СОЗОНІВКА","СОЗОНОВКА"
"5121883207","С","ШАМАНІВКА","ШАМАНОВКА"
"5121883800",,"СЕВЕРИНІВСЬКА/С.СЕВЕРИНІВКА","СЕВЕРИНОВСКИЙ/С.СЕВЕРИНОВКА"
"5121883801","С","СЕВЕРИНІВКА","СЕВЕРИНОВКА"
"5121883802","С","АДАМІВКА","АДАМОВКА"
"5121883803","С","РУСЬКА СЛОБІДКА","РУССКАЯ СЛОБОДКА"
"5121884200",,"ЗНАМ'ЯНСЬКА/С.ЗНАМ'ЯНКА","ЗНАМЕНСКИЙ/С.ЗНАМЕНКА"
"5121884201","С","ЗНАМ'ЯНКА","ЗНАМЕНКА"
"5122000000",,"ІЗМАЇЛЬСЬКИЙ РАЙОН/М.ІЗМАЇЛ","ИЗМАИЛЬСКИЙ РАЙОН/Г.ИЗМАИЛ"
"5122055000",,"СЕЛИЩА МІСЬКОГО ТИПУ ІЗМАЇЛЬСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ИЗМАИЛЬСКОГО Р-НА"
"5122055400","Т","СУВОРОВЕ","СУВОРОВО"
"5122080000",,"СІЛЬРАДИ ІЗМАЇЛЬСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ИЗМАИЛЬСКОГО Р-НА"
